list,order,item,audio,condition,concept,prime,colour_repetition,prime_description,target_description,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,target_pattern,prime_pattern,filler_prime_category,filler_target_category,target_object,distractor1_sameN_sameC_DiffP,distractor2_sameN_DiffC_sameP,distractor4_sameN_DiffC_DiffP,distractor3_DiffNoun_sameC_sameP,distractor6_DiffN_SameC_DiffP,distractor5_repeated_diffN_diffColor_sameP,distractor7_non_repeated_prime_DiffN_DiffC_DiffP,alternative noun,alternative colour,alternative pattern,targetPosition,distractor1_sameN_sameC_DiffP,distractor2_sameN_DiffC_sameP,distractor4_sameN_DiffC_DiffP,distractor3_DiffNoun_sameC_sameP,distractor6_repeated_prime_DiffN_SameC_DiffP,distractor5_repeated_diffN_diffColor_sameP,distractor7_non_repeated_prime_DiffN_DiffC_DiffP,expTrials,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,recordingName
5,2,f16,f16.mp3,9,,AN,,The small chisel,chisel upside down,,chisel,,,chisel,,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,,,,N,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png,N_List5_Order2_Item-f16_Cond9
6,2,f16,f16.mp3,9,,AN,,The small chisel,chisel upside down,,chisel,,,chisel,,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,,,,N,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png,N_List6_Order2_Item-f16_Cond9
7,2,f16,f16.mp3,9,,AN,,The small chisel,chisel upside down,,chisel,,,chisel,,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,,,,N,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png,N_List7_Order2_Item-f16_Cond9
8,2,f16,f16.mp3,9,,AN,,The small chisel,chisel upside down,,chisel,,,chisel,,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,,,,N,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png,N_List8_Order2_Item-f16_Cond9
1,3,6,06_CP_RC_non.mp3,3,CP,RC,non-repeated,The green skirt that's striped,red spotted glass,glass_red_spotted,glass,red,spotted,skirt,green,spotted,striped,,,glass_red_spotted,glass_red_striped,glass_green_spotted,glass_green_striped,skirt_red_spotted,skirt_red_striped,skirt_green_spotted,skirt_green_striped,skirt,green,striped,3,5,2,1,7,4,6,8,Y,8,3,glass_green_striped.png,glass_green_spotted.png,glass_red_spotted.png,skirt_red_striped.png,glass_red_striped.png,skirt_green_spotted.png,skirt_red_spotted.png,skirt_green_striped.png,Y_List1_Order3_Item-6_Cond3
2,3,6,06_CP_RC_rep.mp3,4,CP,RC,repeated,The green skirt that's spotted,red spotted glass,glass_red_spotted,glass,red,spotted,skirt,green,spotted,spotted,,,glass_red_spotted,glass_red_striped,glass_green_spotted,glass_green_striped,skirt_red_spotted,skirt_red_striped,skirt_green_spotted,skirt_green_striped,skirt,green,striped,3,5,2,1,7,4,6,8,Y,6,3,glass_green_striped.png,glass_green_spotted.png,glass_red_spotted.png,skirt_red_striped.png,glass_red_striped.png,skirt_green_spotted.png,skirt_red_spotted.png,skirt_green_striped.png,Y_List2_Order3_Item-6_Cond4
3,3,6,06_PC_AAN_non.mp3,5,PC,AAN,non-repeated,The striped green skirt,red spotted glass,glass_red_spotted,glass,red,spotted,skirt,green,spotted,striped,,,glass_red_spotted,glass_red_striped,glass_green_spotted,glass_green_striped,skirt_red_spotted,skirt_red_striped,skirt_green_spotted,skirt_green_striped,skirt,green,striped,3,5,2,1,7,4,6,8,Y,8,3,glass_green_striped.png,glass_green_spotted.png,glass_red_spotted.png,skirt_red_striped.png,glass_red_striped.png,skirt_green_spotted.png,skirt_red_spotted.png,skirt_green_striped.png,Y_List3_Order3_Item-6_Cond5
4,3,6,06_PC_AAN_rep.mp3,6,PC,AAN,repeated,The spotted green skirt,red spotted glass,glass_red_spotted,glass,red,spotted,skirt,green,spotted,spotted,,,glass_red_spotted,glass_red_striped,glass_green_spotted,glass_green_striped,skirt_red_spotted,skirt_red_striped,skirt_green_spotted,skirt_green_striped,skirt,green,striped,3,5,2,1,7,4,6,8,Y,6,3,glass_green_striped.png,glass_green_spotted.png,glass_red_spotted.png,skirt_red_striped.png,glass_red_striped.png,skirt_green_spotted.png,skirt_red_spotted.png,skirt_green_striped.png,Y_List4_Order3_Item-6_Cond6
5,3,6,06_PC_RC_non.mp3,7,PC,RC,non-repeated,The striped skirt that's green,red spotted glass,glass_red_spotted,glass,red,spotted,skirt,green,spotted,striped,,,glass_red_spotted,glass_red_striped,glass_green_spotted,glass_green_striped,skirt_red_spotted,skirt_red_striped,skirt_green_spotted,skirt_green_striped,skirt,green,striped,3,5,2,1,7,4,6,8,Y,8,3,glass_green_striped.png,glass_green_spotted.png,glass_red_spotted.png,skirt_red_striped.png,glass_red_striped.png,skirt_green_spotted.png,skirt_red_spotted.png,skirt_green_striped.png,Y_List5_Order3_Item-6_Cond7
6,3,6,06_PC_RC_rep.mp3,8,PC,RC,repeated,The spotted skirt that's green,red spotted glass,glass_red_spotted,glass,red,spotted,skirt,green,spotted,spotted,,,glass_red_spotted,glass_red_striped,glass_green_spotted,glass_green_striped,skirt_red_spotted,skirt_red_striped,skirt_green_spotted,skirt_green_striped,skirt,green,striped,3,5,2,1,7,4,6,8,Y,6,3,glass_green_striped.png,glass_green_spotted.png,glass_red_spotted.png,skirt_red_striped.png,glass_red_striped.png,skirt_green_spotted.png,skirt_red_spotted.png,skirt_green_striped.png,Y_List6_Order3_Item-6_Cond8
